movie_id,pop_score,rank
50,21.225148925024687,1
313,18.06946535386324,2
272,15.233063144145898,3
318,14.325212011649647,4
302,13.39668014838715,5
127,13.312351866942473,6
100,12.004530292607392,7
483,11.883682439632942,8
98,11.41885070302008,9
315,10.993920831371017,10
603,10.976515670229814,11
316,10.828984527850396,12
357,10.793090759344963,13
174,10.32359891344201,14
12,9.933561424610037,15
56,9.409340647401491,16
427,8.966902632996826,17
172,8.36557539173417,18
64,8.031149882381891,19
515,8.021043700054788,20
