movie_id,pop_score,rank
50,22.282102217932405,1
313,17.265065193703034,2
272,17.15602163663186,3
127,13.99278610233306,4
318,13.544878698959561,5
302,12.993415114754358,6
100,12.67869809941118,7
98,11.942107857751855,8
174,11.00031851199188,9
603,10.963029746039703,10
316,10.09725116966691,11
483,10.016014117962381,12
315,9.6884310016741,13
357,9.596076367802496,14
181,9.171670414477353,15
427,8.821853624013933,16
12,8.682392424650164,17
89,8.424495525313208,18
22,7.980592622484704,19
56,7.798292076814115,20
