movie_id,pop_score,rank
50,20.98683950913887,1
313,16.093629726906947,2
318,14.876219826524038,3
127,14.356444977927437,4
302,13.741257342844824,5
272,13.477027746559473,6
100,13.429448631359282,7
316,12.20240085062442,8
315,11.075398457970373,9
98,10.576007850926151,10
12,10.48752200186619,11
483,10.352577841155819,12
357,10.290049816843508,13
174,9.999512464760738,14
427,9.459181908045146,15
603,9.310571827056702,16
89,9.005874368298148,17
56,8.770224234770726,18
172,8.139107718954058,19
191,7.915310618272014,20
