movie_id,pop_score,rank
50,21.583889411563007,1
313,15.757657902754305,2
272,15.752811245748163,3
127,14.268671116707315,4
318,14.259989751301008,5
302,12.876198049667849,6
100,12.833633554286285,7
316,12.725835247905682,8
174,11.612033732481448,9
315,11.47216043513833,10
98,10.981377397385137,11
603,10.793864728344122,12
483,10.531679313808146,13
357,9.955737837744252,14
12,9.364099092995662,15
172,8.160570764685556,16
22,8.130263037648414,17
181,8.06999879945901,18
56,8.02736625117643,19
427,8.017302982528006,20
