movie_id,pop_score,rank
50,22.099737743828513,1
313,16.939528125537205,2
272,15.171708094107206,3
318,14.393390688423427,4
127,13.233439431319965,5
100,13.207853138986065,6
302,12.768390854077674,7
316,12.53144509018795,8
98,12.176123995322465,9
603,11.184683357352435,10
12,10.186188045431678,11
315,10.135408518227374,12
174,9.883149699636725,13
357,9.856790363608914,14
427,9.54161269233692,15
483,9.417123450254296,16
22,8.521161338542994,17
89,8.18195793182673,18
423,7.810321795356328,19
181,7.672162345677117,20
