movie_id,pop_score,rank
50,20.188967896283614,1
313,17.87042754737254,2
272,16.044510328045913,3
318,14.509201141797618,4
98,11.730378203381068,5
603,11.69240017455647,6
302,11.622420206630755,7
174,11.617479222339027,8
127,11.610996072819733,9
316,11.48311950248659,10
483,11.03936661492868,11
100,10.83139400227871,12
357,10.456101633422278,13
12,9.860632792785061,14
315,9.443662541164196,15
427,8.799236444426858,16
89,8.70578192086684,17
56,8.659733064443591,18
22,8.397230143417001,19
181,8.18211151276551,20
