movie_id,pop_score,rank
50,20.221331050419103,1
313,19.132799938883352,2
318,14.987544414309813,3
127,13.921156783455945,4
272,13.843418662970011,5
316,12.796123962844511,6
302,12.66896571401048,7
98,11.591902492318303,8
315,11.388501375499313,9
603,11.133063561183352,10
100,10.524250365083494,11
174,10.508333880717428,12
12,9.960336434556002,13
357,9.252197433219505,14
483,9.234860794555974,15
427,9.079291420215132,16
22,8.512011964751363,17
181,8.44164881683131,18
56,8.339619423322178,19
89,8.3317052442872,20
