movie_id,pop_score,rank
50,20.9170917127051,1
313,16.872785200539674,2
272,15.755642918262744,3
318,15.508567584868937,4
127,13.355598661092525,5
316,12.942768011048274,6
100,12.896989922229826,7
302,12.58111868472937,8
98,12.344139011840323,9
483,12.050103603167257,10
603,10.957155294093498,11
315,10.877728474973816,12
174,10.56609187388574,13
12,10.467795012710964,14
357,10.354582483910496,15
427,8.873963852921955,16
56,8.581016691230928,17
168,7.813040562631037,18
132,7.774973627800706,19
172,7.688826822297719,20
