movie_id,pop_score,rank
50,20.971774263836128,1
313,15.430636098273181,2
272,14.951030232862719,3
318,13.783615147612434,4
127,13.174805365254372,5
302,12.568269710721054,6
316,11.32208115885298,7
100,10.934911024217728,8
315,10.900573695663216,9
98,10.369869149739353,10
603,10.302149966510552,11
483,10.268031338426614,12
12,10.019825934962748,13
174,9.77665338439094,14
357,9.272509507784493,15
56,9.121770584391736,16
427,8.886319667780421,17
22,8.320719893589844,18
89,8.046559317332903,19
64,7.902188388434887,20
