movie_id,pop_score,rank
50,22.868527693849288,1
313,17.009059377033303,2
318,15.939011706371637,3
272,14.720833136880678,4
302,13.511210154696,5
316,13.121238293422602,6
127,12.76065285013423,7
100,12.047170692754296,8
98,11.752680634758065,9
315,10.916236210734382,10
603,10.47480100436234,11
483,10.456532572011069,12
357,10.41971136381114,13
174,10.379920223834201,14
12,10.199359446833158,15
56,8.785142442150907,16
427,8.125444559469722,17
172,7.941234404716763,18
191,7.9322849170109055,19
168,7.710428495786883,20
